Customer ID,Gender,Age,Zip Code,Latitude,Longitude,Tenure in Months,Offer,Internet Type,Avg Monthly GB Download,Unlimited Data,Contract,Payment Method,Monthly Charge,Total Charges,Total Extra Data Charges,Total Revenue,Customer Status
0040-HALCW,Male,42,95358,37.612612,-121.108568,54,None,,,,Two Year,Credit Card,20.4,1090.6,0,2154.4,Stayed
0042-JVWOJ,Male,64,95442,38.368744,-122.522642,26,Offer C,,,,One Year,Bank Withdrawal,19.6,471.85,0,1430.8,Stayed
0042-RLHYP,Female,47,95503,40.737431,-124.108897,69,None,,,,Two Year,Bank Withdrawal,19.7,1396.9,0,4045.81,Stayed
0048-LUMLS,Male,23,94038,37.515556,-122.502311,37,Offer C,Fiber Optic,51,Yes,One Year,Credit Card,91.2,3247.55,0,4838.92,Stayed
0048-PIHNL,Female,48,90058,34.001617,-118.222274,49,Offer B,,,,One Year,Bank Withdrawal,20.45,900.9,0,3330.32,Stayed
0052-DCKON,Male,28,90063,34.044271,-118.185237,66,None,Fiber Optic,41,Yes,One Year,Bank Withdrawal,-2,7942.15,0,10830.97,Stayed
0052-YNYOT,Female,28,92231,32.690654,-115.431225,67,None,,,,One Year,Bank Withdrawal,20.55,1343.4,0,2861.91,Stayed
0056-EPFBG,Male,33,96003,40.677649,-122.29467,20,None,Cable,22,Yes,Two Year,Credit Card,39.4,825.4,0,825.4,Stayed
0057-QBUQH,Female,31,95046,37.084697,-121.606417,43,None,,,,Two Year,Bank Withdrawal,25.1,1070.15,0,2387.67,Stayed
0058-EVZWM,Female,37,95209,38.044523,-121.348048,55,Offer B,Fiber Optic,9,Yes,Month-to-Month,Bank Withdrawal,89.8,4959.6,0,5239,Stayed
0060-FUALY,Female,60,90003,33.964131,-118.272783,59,Offer B,Fiber Optic,14,Yes,Month-to-Month,Bank Withdrawal,94.75,5597.65,0,6564.66,Stayed
0064-SUDOG,Female,48,90255,33.97803,-118.217141,12,None,,,,Two Year,Bank Withdrawal,20.3,224.5,0,455.86,Stayed
0064-YIJGF,Male,60,92398,35.013299,-116.834092,27,Offer C,Fiber Optic,23,Yes,Month-to-Month,Bank Withdrawal,75.75,1929,0,2611.02,Stayed
0067-DKWBL,Male,69,92129,32.961064,-117.134917,2,None,DSL,27,Yes,Month-to-Month,Bank Withdrawal,49.25,91.1,0,179.08,Churned
0068-FIGTF,Female,20,94539,37.516791,-121.899117,27,Offer C,DSL,59,Yes,One Year,Credit Card,78.2,2078.95,0,3399.52,Stayed
0071-NDAFP,Male,31,95405,38.439696,-122.668817,25,None,,,,Two Year,Credit Card,25.5,630.6,0,1178.43,Stayed
0074-HDKDG,Male,46,95126,37.327069,-121.916819,25,None,Cable,19,Yes,One Year,Bank Withdrawal,61.6,1611,0,1727.35,Stayed
0076-LVEPS,Male,57,91042,34.296574,-118.244839,29,None,DSL,21,Yes,Month-to-Month,Credit Card,45,1242.45,0,1230.19,Stayed
0078-XZMHT,Male,19,93291,36.391777,-119.372842,72,None,DSL,52,Yes,Two Year,Bank Withdrawal,85.15,6316.2,0,8646.12,Stayed
0080-EMYVY,Female,64,95240,38.123544,-121.159078,14,None,Cable,12,Yes,One Year,Credit Card,51.45,727.85,0,1064.41,Stayed
0080-OROZO,Female,38,95318,37.654551,-119.822984,35,Offer C,Fiber Optic,2,Yes,One Year,Bank Withdrawal,99.25,3532,0,4806.7,Stayed
0082-LDZUE,Male,54,94515,38.629618,-122.593216,1,Offer E,DSL,9,Yes,Month-to-Month,Credit Card,44.3,44.3,0,87.25,Joined
0082-OQIQY,Male,50,95230,37.956963,-120.863055,29,None,Fiber Optic,17,No,Month-to-Month,Bank Withdrawal,94.2,2607.6,20,2687.05,Stayed
0083-PIVIK,Male,25,96134,41.813521,-121.492666,64,None,DSL,69,No,One Year,Bank Withdrawal,81.25,5567.55,40,5958.91,Stayed
0089-IIQKO,Female,35,96107,38.42528,-119.475741,39,None,Fiber Optic,53,Yes,Month-to-Month,Credit Card,99.95,3767.4,0,4718.22,Stayed
0093-EXYQL,Female,72,93023,34.581308,-118.931948,40,None,Fiber Optic,23,Yes,Two Year,Bank Withdrawal,91.55,3673.6,0,5439.2,Stayed
0093-XWZFY,Male,51,92241,33.832799,-116.250973,40,None,Fiber Optic,15,Yes,Month-to-Month,Credit Card,104.5,4036.85,0,5544.45,Churned
0094-OIFMO,Female,78,91605,34.207295,-118.400022,11,Offer D,Fiber Optic,29,No,Month-to-Month,Bank Withdrawal,95,1120.3,120,1367.79,Churned
0096-BXERS,Female,30,94937,38.099323,-122.945723,6,Offer E,Cable,85,Yes,Month-to-Month,Bank Withdrawal,50.35,314.55,0,570.51,Stayed
0096-FCPUF,Male,58,95404,38.526941,-122.709096,30,None,DSL,15,Yes,Month-to-Month,Mailed Check,64.5,1888.45,0,1967.65,Stayed
0098-BOWSO,Male,26,95131,37.387027,-121.897775,27,None,,,,Month-to-Month,Bank Withdrawal,19.4,529.8,0,1087.62,Stayed
0100-DUVFC,Male,66,90744,33.782068,-118.262263,70,None,Fiber Optic,28,Yes,One Year,Bank Withdrawal,104.8,7308.95,0,10067.14,Stayed
0103-CSITQ,Female,20,95357,37.670526,-120.877572,57,Offer B,Fiber Optic,73,Yes,One Year,Bank Withdrawal,109.4,6252.7,0,6709.27,Stayed
0104-PPXDV,Male,61,92113,32.697098,-117.116587,58,None,DSL,18,Yes,One Year,Credit Card,50.3,2878.55,0,3933.78,Stayed
0106-GHRQR,Male,24,90275,33.753146,-118.367459,16,None,DSL,48,Yes,Month-to-Month,Bank Withdrawal,71.4,1212.1,0,1623.46,Stayed
0106-UGRDO,Female,55,95452,38.419525,-122.521585,69,Offer A,Fiber Optic,27,Yes,Two Year,Bank Withdrawal,116,8182.85,0,10840.73,Stayed
0107-WESLM,Male,32,95255,38.41935,-120.469545,1,Offer E,,,,Month-to-Month,Bank Withdrawal,19.85,19.85,0,51.62,Churned
0107-YHINA,Male,59,90062,34.003553,-118.308933,1,None,Fiber Optic,25,Yes,Month-to-Month,Bank Withdrawal,99.75,99.75,0,140.46,Churned
0111-KLBQG,Male,71,92256,34.097863,-116.594561,32,Offer C,Fiber Optic,23,Yes,One Year,Mailed Check,93.95,2861.45,0,3880.97,Stayed
0112-QAWRZ,Male,49,92266,33.3249,-114.758334,16,Offer D,Fiber Optic,12,Yes,Month-to-Month,Bank Withdrawal,90.8,1442.2,0,2221.56,Stayed
0112-QWPNC,Male,61,93563,34.39583,-117.734568,49,Offer B,Cable,10,Yes,One Year,Bank Withdrawal,84.35,4059.35,0,5997.3,Churned
0114-IGABW,Female,40,93428,35.591387,-121.032256,71,Offer A,Cable,29,Yes,Two Year,Bank Withdrawal,58.25,4145.9,0,4145.9,Stayed
0114-PEGZZ,Female,39,96084,40.923558,-122.059933,33,None,Fiber Optic,12,Yes,Month-to-Month,Bank Withdrawal,107.55,3645.5,0,5285.27,Stayed
0114-RSRRW,Female,21,95548,41.572813,-124.035011,10,Offer D,,,,Month-to-Month,Bank Withdrawal,19.95,187.75,0,683.75,Stayed
0115-TFERT,Male,24,93650,36.841655,-119.797113,21,None,Fiber Optic,59,No,Month-to-Month,Bank Withdrawal,111.2,2317.1,120,3198.56,Churned
0117-LFRMW,Male,52,94508,38.542448,-122.419923,37,None,DSL,23,Yes,Month-to-Month,Bank Withdrawal,40.2,1448.8,0,1448.8,Churned
0118-JPNOY,Female,71,95333,37.249377,-120.249581,26,None,Fiber Optic,7,Yes,Month-to-Month,Credit Card,85.8,2193.65,0,3070.89,Stayed
0121-SNYRK,Male,45,95560,40.142256,-123.852927,50,Offer B,DSL,7,Yes,One Year,Credit Card,35.4,1748.9,0,1748.9,Stayed
0122-OAHPZ,Female,29,92122,32.85723,-117.209774,7,None,Fiber Optic,26,Yes,Month-to-Month,Bank Withdrawal,73.85,511.25,0,698.56,Churned
0123-CRBRT,Female,62,91755,34.049172,-118.115022,61,Offer B,DSL,28,Yes,Two Year,Mailed Check,88.1,5526.75,0,8405.34,Stayed
0125-LZQXK,Male,42,95305,37.818589,-120.256995,15,Offer D,Fiber Optic,12,Yes,Month-to-Month,Bank Withdrawal,101.35,1553.95,0,2242.75,Churned
0128-MKWSG,Female,51,91381,34.364153,-118.615583,26,None,DSL,19,Yes,Month-to-Month,Credit Card,45.8,1147,0,1147,Stayed
0129-KPTWJ,Male,39,95660,38.671295,-121.388251,72,None,Fiber Optic,23,Yes,Month-to-Month,Bank Withdrawal,94.65,6747.35,0,9139.19,Stayed
0129-QMPDR,Male,64,91746,34.038983,-117.991372,44,None,,,,One Year,Bank Withdrawal,20.5,865.05,0,2070.65,Stayed
0130-SXOUN,Male,55,95443,39.045246,-122.743181,66,Offer A,Fiber Optic,8,No,Month-to-Month,Credit Card,89.4,5976.9,40,9200.36,Stayed
0133-BMFZO,Female,40,91803,34.074736,-118.145959,2,None,Fiber Optic,16,Yes,Month-to-Month,Bank Withdrawal,86.25,181.65,0,255.27,Churned
0134-XWXCE,Female,76,90403,34.031529,-118.491156,44,None,DSL,17,Yes,One Year,Bank Withdrawal,74.85,3268.05,0,3589.82,Stayed
0135-NMXAP,Female,57,95240,38.123544,-121.159078,12,Offer D,Fiber Optic,6,Yes,Month-to-Month,Bank Withdrawal,89.75,1052.4,0,1224.96,Churned
0136-IFMYD,Male,71,90001,33.973616,-118.24902,69,None,Fiber Optic,17,Yes,Two Year,Bank Withdrawal,109.95,7634.25,0,8904.54,Stayed
0137-OCGAB,Female,25,94533,38.287136,-122.02711,1,Offer E,Fiber Optic,69,Yes,Month-to-Month,Mailed Check,80.2,80.2,0,81.43,Churned
0137-UDEUO,Female,24,95204,37.974498,-121.319568,3,Offer E,,,,Month-to-Month,Credit Card,19.85,63.75,0,141,Churned
0139-IVFJG,Female,19,92592,33.507255,-117.029473,2,None,Fiber Optic,53,Yes,Month-to-Month,Bank Withdrawal,90.35,190.5,0,199.8,Joined
0141-YEAYS,Female,77,92028,33.362575,-117.299644,27,None,Fiber Optic,4,Yes,Two Year,Bank Withdrawal,86.45,2401.05,0,2481.24,Stayed
0142-GVYSN,Male,57,93554,35.405722,-117.773354,26,Offer C,,,,Month-to-Month,Bank Withdrawal,20.3,511.25,0,858.09,Stayed
0147-ESWWR,Female,73,93422,35.453912,-120.69461,39,None,Fiber Optic,21,Yes,Month-to-Month,Bank Withdrawal,101.25,3949.15,0,4735,Stayed
0148-DCDOS,Male,41,95365,37.329725,-120.306399,25,None,Fiber Optic,8,Yes,Month-to-Month,Bank Withdrawal,94.7,2362.1,0,3234.1,Churned
0151-ONTOV,Female,43,93021,34.312945,-118.858169,1,Offer E,Fiber Optic,23,Yes,Month-to-Month,Mailed Check,70.9,70.9,0,110.71,Churned
0156-FVPTA,Male,48,93463,34.624399,-120.137875,22,Offer D,DSL,21,Yes,Month-to-Month,Bank Withdrawal,54.2,1152.7,0,1751.98,Churned
0164-APGRB,Female,56,94515,38.629618,-122.593216,72,Offer A,Fiber Optic,5,Yes,Two Year,Bank Withdrawal,114.9,8496.7,0,11979.34,Stayed
0164-XAIRP,Female,51,90638,33.902045,-118.008961,24,None,,,,Two Year,Bank Withdrawal,19.55,470.2,0,725.56,Stayed
0168-XZKBB,Female,34,93516,34.95703,-117.73045,19,None,Fiber Optic,16,Yes,Month-to-Month,Bank Withdrawal,86.85,1564.4,0,1713.36,Stayed
0174-QRVVY,Male,21,92078,33.119028,-117.166036,71,None,,,,Two Year,Credit Card,25.35,1847.55,0,2500.75,Stayed
0177-PXBAT,Male,78,92239,33.889605,-115.257009,33,None,Fiber Optic,20,Yes,One Year,Bank Withdrawal,109.9,3694.7,0,4524.65,Stayed
0178-CIIKR,Female,60,95313,37.435664,-121.049056,3,None,,,,Month-to-Month,Credit Card,19.95,58,0,66.07,Joined
0178-SZBHO,Male,54,95379,37.939768,-120.188002,47,None,Fiber Optic,13,Yes,Month-to-Month,Bank Withdrawal,87.2,4017.45,0,4068.68,Stayed
0181-RITDD,Male,42,92120,32.807867,-117.060993,62,None,Fiber Optic,20,Yes,Two Year,Credit Card,108.15,6825.65,0,6934.77,Stayed
0186-CAERR,Male,22,95603,38.912881,-121.082766,71,None,Fiber Optic,48,Yes,One Year,Bank Withdrawal,116.3,8309.55,0,8514.03,Stayed
0187-QSXOE,Male,71,93725,36.623632,-119.741322,7,None,Fiber Optic,11,Yes,Two Year,Bank Withdrawal,89,605.45,0,899.24,Stayed
0187-WZNAB,Female,56,93616,36.657462,-119.595293,27,Offer C,Fiber Optic,28,Yes,Month-to-Month,Credit Card,74.4,1972.35,0,3232.17,Stayed
0188-GWFLE,Male,33,94065,37.527497,-122.230941,2,None,,,,Month-to-Month,Credit Card,20.05,33.7,0,37.32,Joined
0191-EQUUH,Female,32,92285,34.341737,-116.539416,25,Offer C,Cable,75,Yes,Two Year,Bank Withdrawal,35.05,844.45,0,844.45,Stayed
0191-ZHSKZ,Male,80,90250,33.914775,-118.348083,30,None,DSL,5,Yes,One Year,Bank Withdrawal,74.75,2111.3,0,3269.6,Stayed
0193-ESZXP,Female,73,93445,35.059695,-120.604741,58,None,Fiber Optic,19,Yes,One Year,Credit Card,105.5,6205.5,0,7188.02,Churned
0195-IESCP,Male,26,93202,36.315979,-119.710852,10,Offer D,Fiber Optic,82,No,Month-to-Month,Bank Withdrawal,85.25,855.3,100,975.5,Churned
0196-JTUQI,Female,59,95612,38.384648,-121.578701,9,None,Fiber Optic,28,Yes,Month-to-Month,Credit Card,75.2,633.85,0,717.28,Stayed
0196-VULGZ,Female,78,92620,33.716136,-117.752574,6,None,Fiber Optic,17,Yes,Month-to-Month,Bank Withdrawal,84.35,474.9,0,647.16,Churned
0197-PNKNK,Female,47,95066,37.070177,-122.010077,69,None,Fiber Optic,16,No,One Year,Bank Withdrawal,84.45,5848.6,40,8574.08,Stayed
0201-MIBOL,Female,68,95368,37.713152,-121.08739,66,None,Fiber Optic,20,Yes,Two Year,Bank Withdrawal,102.4,6471.85,0,7161.55,Stayed
0201-OAMXR,Female,30,95519,40.965011,-124.015255,70,Offer A,Fiber Optic,52,Yes,One Year,Credit Card,115.55,8127.6,0,8842.3,Churned
0203-HHYIJ,Male,62,94027,37.454924,-122.203168,25,Offer C,,,,One Year,Bank Withdrawal,25.3,676.35,0,815.6,Churned
0206-OYVOC,Female,52,92649,33.721917,-118.043237,46,Offer B,,,,Two Year,Credit Card,19.25,864.2,0,1983.38,Stayed
0206-TBWLC,Female,63,92320,33.982787,-117.057627,54,Offer B,Fiber Optic,26,Yes,One Year,Credit Card,114.65,6049.5,0,6665.1,Stayed
0207-MDKNV,Female,54,94014,37.691561,-122.445202,15,None,Fiber Optic,7,Yes,Month-to-Month,Bank Withdrawal,105.1,1582.75,0,1918.6,Churned
0208-BPQEJ,Female,48,95461,38.787446,-122.58675,12,Offer D,,,,Month-to-Month,Bank Withdrawal,19.4,198.1,0,297.1,Stayed
0212-ISBBF,Female,51,94705,37.858898,-122.240512,22,None,Cable,22,Yes,Month-to-Month,Bank Withdrawal,50.35,1098.85,0,1098.85,Stayed
0214-JHPFW,Female,22,93249,35.637715,-119.893068,70,None,Cable,85,Yes,Two Year,Bank Withdrawal,57.8,4039.3,0,4038.29,Stayed
0215-BQKGS,Male,52,92844,33.766476,-117.969795,30,Offer C,Fiber Optic,20,No,Month-to-Month,Credit Card,84.3,2438.6,130,3310.5,Stayed
0218-QNVAS,Male,22,92203,33.752938,-116.230055,71,Offer A,Fiber Optic,59,Yes,One Year,Bank Withdrawal,100.55,7113.75,0,9108.9,Stayed
0219-QAERP,Male,33,93033,34.156629,-119.117218,30,None,,,,One Year,Credit Card,19.8,576.65,0,870.95,Stayed
0219-YTZUE,Male,26,92122,32.85723,-117.209774,4,Offer E,Fiber Optic,19,Yes,Month-to-Month,Bank Withdrawal,84.8,371.9,0,486.98,Churned
0220-EBGCE,Male,58,92027,33.141265,-116.967221,2,Offer E,Fiber Optic,28,Yes,Month-to-Month,Bank Withdrawal,85.85,167.3,0,195.58,Churned
0221-NAUXK,Male,22,92553,33.923149,-117.244933,10,None,,,,One Year,Bank Withdrawal,19.95,219.5,0,298.1,Stayed
0221-WMXNQ,Male,66,91710,33.990646,-117.663025,4,Offer E,Fiber Optic,29,Yes,One Year,Bank Withdrawal,75.35,273.4,0,419,Stayed
0222-CNVPT,Male,69,95820,38.53508,-121.444144,52,Offer B,DSL,19,Yes,Two Year,Credit Card,48.8,2555.05,0,2555.05,Stayed
0224-HJAPT,Male,25,92117,32.825086,-117.199424,5,None,Cable,85,Yes,Month-to-Month,Bank Withdrawal,47.15,223.15,0,333.2,Churned
0224-NIJLP,Male,30,95380,37.474396,-120.875917,8,Offer E,,,,Two Year,Credit Card,20.15,165.5,0,188.46,Stayed
0224-RLWWD,Female,73,92231,32.690654,-115.431225,2,Offer E,Cable,22,Yes,One Year,Bank Withdrawal,44.3,89.3,0,137.12,Joined
0225-ZORZP,Male,46,95321,37.902968,-119.667544,3,Offer E,Fiber Optic,26,Yes,Month-to-Month,Bank Withdrawal,84.3,235.05,0,276.21,Joined
0228-MAUWC,Male,40,95033,37.160194,-121.945611,19,Offer D,DSL,18,Yes,Month-to-Month,Bank Withdrawal,59.55,1144.6,0,1369.75,Stayed
0229-LFJAF,Male,53,93611,36.917652,-119.593757,72,Offer A,DSL,13,Yes,Two Year,Bank Withdrawal,69.65,4908.25,0,5171.77,Stayed
0230-UBYPQ,Male,76,96046,40.648024,-123.465088,63,Offer B,DSL,7,Yes,One Year,Bank Withdrawal,36.1,2298.9,0,2298.9,Stayed
0230-WEQUW,Male,38,91364,34.153733,-118.593408,66,None,DSL,29,Yes,Two Year,Bank Withdrawal,56.6,3789.2,0,3789.2,Stayed
0231-LXVAP,Male,23,92592,33.507255,-117.029473,1,None,Fiber Optic,27,Yes,Month-to-Month,Bank Withdrawal,75.9,75.9,0,120.46,Churned
0233-FTHAV,Female,24,95334,37.361987,-120.748394,60,None,Fiber Optic,48,Yes,One Year,Bank Withdrawal,79.2,4765,0,5682.4,Stayed
0234-TEVTT,Female,43,93274,36.185471,-119.375243,48,None,DSL,22,Yes,One Year,Credit Card,45,2196.3,0,2196.3,Stayed
0235-KGSLC,Female,45,93427,34.631362,-120.238218,1,Offer E,Fiber Optic,4,Yes,Month-to-Month,Credit Card,85.55,85.55,0,118.89,Churned
0236-HFWSV,Male,49,93552,34.557711,-118.029441,15,None,Fiber Optic,15,Yes,Month-to-Month,Bank Withdrawal,93.35,1444.65,0,2178.6,Churned
0237-YFUTL,Female,62,92655,33.744439,-117.98588,50,Offer B,Fiber Optic,13,Yes,Month-to-Month,Bank Withdrawal,109.65,5405.8,0,7134.3,Stayed
0238-WHBIQ,Male,25,95630,38.672638,-121.147403,72,Offer A,Cable,30,Yes,Two Year,Credit Card,89.7,6339.3,0,8769.3,Stayed
0239-OXEXL,Female,37,94619,37.787186,-122.14633,46,None,Fiber Optic,21,No,Month-to-Month,Credit Card,84.25,3847.6,100,5938.02,Stayed
0244-LGNFY,Female,35,94960,37.99272,-122.575026,72,None,DSL,19,Yes,Two Year,Bank Withdrawal,92.65,6733,0,8893,Stayed
0247-SLUJI,Male,37,91010,34.145695,-117.95982,1,None,,,,Month-to-Month,Credit Card,19.7,19.7,0,53.98,Joined
0248-IPDFW,Female,19,92530,33.655421,-117.391751,1,None,Cable,51,Yes,Month-to-Month,Bank Withdrawal,50.1,50.1,0,79.23,Joined
0248-PGHBZ,Female,69,92672,33.429488,-117.609432,67,Offer A,Fiber Optic,21,Yes,Two Year,Bank Withdrawal,92.45,6140.85,0,6313.04,Stayed
0253-ZTEOB,Female,44,90004,34.076259,-118.310715,48,None,DSL,27,Yes,Two Year,Bank Withdrawal,79.65,3870.3,0,4299.42,Stayed
0254-FNMCI,Female,19,90241,33.940884,-118.128628,72,None,Fiber Optic,73,Yes,Two Year,Bank Withdrawal,109.9,7624.2,0,10641.72,Stayed
0254-KCJGT,Male,64,94923,38.377165,-123.037957,52,Offer B,Cable,24,Yes,One Year,Credit Card,81.4,4354.45,0,6504.13,Stayed
0254-WWRKD,Female,44,95925,39.461768,-121.195825,67,Offer A,Cable,28,Yes,One Year,Credit Card,50.55,3431.75,0,6574.05,Stayed
0256-LTHVJ,Female,58,92338,34.702766,-116.093376,28,Offer C,Fiber Optic,13,Yes,Month-to-Month,Bank Withdrawal,81.05,2227.1,0,2698.9,Churned
0257-KXZGU,Female,29,95051,37.348129,-121.98469,32,Offer C,DSL,51,Yes,Month-to-Month,Bank Withdrawal,62.45,2045.55,0,3110.51,Stayed
0257-ZESQC,Female,80,92571,33.828289,-117.201666,27,None,Cable,25,Yes,Month-to-Month,Bank Withdrawal,75.2,1929.35,0,2118.89,Churned
0258-NOKBL,Male,22,95540,40.584991,-124.121504,3,None,Fiber Optic,73,Yes,Month-to-Month,Bank Withdrawal,90.4,268.45,0,362.89,Joined
0259-GBZSH,Male,22,92122,32.85723,-117.209774,2,Offer E,Cable,27,Yes,Month-to-Month,Bank Withdrawal,85.65,181.5,0,262.36,Churned
0260-ZDLGK,Female,50,91773,34.102119,-117.815532,9,None,Cable,11,Yes,Month-to-Month,Credit Card,72.9,651.4,0,970.81,Churned
0263-FJTQO,Male,53,95672,38.724322,-120.991237,50,Offer B,Cable,28,Yes,Two Year,Credit Card,70.5,3486.65,0,5711.15,Stayed
0264-CNITK,Female,45,96106,39.745805,-120.580882,71,None,,,,Two Year,Bank Withdrawal,20.1,1389.6,0,3592.73,Stayed
0265-EDXBD,Male,76,92122,32.85723,-117.209774,32,Offer C,Fiber Optic,10,Yes,Month-to-Month,Bank Withdrawal,74.9,2303.35,0,3818.23,Churned
0265-PSUAE,Female,57,95651,38.815515,-120.916997,16,Offer D,Fiber Optic,76,Yes,Month-to-Month,Bank Withdrawal,100.7,1522.7,0,1959.02,Stayed
0266-CLZKZ,Female,45,92078,33.119028,-117.166036,67,Offer A,Fiber Optic,22,Yes,Two Year,Bank Withdrawal,105.65,6717.9,0,7909.83,Stayed
0266-GMEAO,Male,43,93436,34.601055,-120.382917,72,None,Fiber Optic,13,Yes,Two Year,Credit Card,114.3,8058.55,0,9206.23,Stayed
0268-QKIWO,Female,41,95664,38.803731,-121.043799,3,Offer E,,,,Month-to-Month,Bank Withdrawal,19.75,58.85,0,132.74,Churned
0269-XFESX,Male,22,94133,37.802071,-122.411004,23,None,,,,One Year,Credit Card,24.35,538.5,0,1642.96,Stayed
0270-THENM,Male,62,91345,34.266389,-118.459744,72,None,DSL,18,Yes,Two Year,Bank Withdrawal,69.85,5102.35,0,7119.75,Stayed
0274-JKUJR,Male,21,90040,33.994524,-118.149953,7,Offer E,Cable,47,Yes,Month-to-Month,Credit Card,-3,465.7,0,465.7,Stayed
0277-BKSQP,Male,49,90710,33.798266,-118.300237,8,Offer E,DSL,57,Yes,Month-to-Month,Bank Withdrawal,54.4,475.1,0,487.58,Stayed
0277-ORXQS,Male,33,94108,37.791998,-122.408653,66,Offer A,Cable,23,No,Two Year,Bank Withdrawal,50.55,3364.55,110,3474.55,Stayed
0278-YXOOG,Male,30,90301,33.956445,-118.358634,5,Offer E,,,,Month-to-Month,Credit Card,21.05,113.85,0,285.15,Churned
0280-XJGEX,Male,38,90015,34.039224,-118.266293,49,None,Fiber Optic,11,Yes,Month-to-Month,Bank Withdrawal,103.7,5036.3,0,7208.47,Churned
